icd10Code,icd10ClassKind,icd10Chapter,icd10Title,icd11Code,icd11ClassKind,icd11Chapter,icd11Title
A07.9,category,I,"Protozoal intestinal disease, unspecified",1A3Z,category,01,"Protozoal intestinal infections, unspecified"
A07.9,category,I,"Protozoal intestinal disease, unspecified",1A31,category,01,Giardiasis
A08,category,I,Viral and other specified intestinal infections,1A2Z,category,01,"Viral intestinal infections, unspecified"
A08.0,category,I,Rotaviral enteritis,1A22,category,01,Gastroenteritis due to Rotavirus
A08.1,category,I,Acute gastroenteropathy due to Norovirus,1A23,category,01,Enteritis due to Norovirus
A08.2,category,I,Adenoviral enteritis,1A20,category,01,Enteritis due to Adenovirus
A08.3,category,I,Other viral enteritis,1A2Z,category,01,"Viral intestinal infections, unspecified"
A08.3,category,I,Other viral enteritis,1A9Y&XN8JY,category,01,Other specified predominantly sexually transmitted infections [Human papillomavirus]
A08.3,category,I,Other viral enteritis,1A2Y,category,01,Other specified viral intestinal infections
A08.3,category,I,Other viral enteritis,1A21,category,01,Gastroenteritis due to Astrovirus
A08.4,category,I,"Viral intestinal infection, unspecified",1A2Z,category,01,"Viral intestinal infections, unspecified"
A08.5,category,I,Other specified intestinal infections,1A24,category,01,Intestinal infections due to Cytomegalovirus
A09,category,I,Other gastroenteritis and colitis of infectious and unspecified origin,1A40.Z,category,01,Infectious gastroenteritis or colitis without specification of infectious agent
A09.0,category,I,Other and unspecified gastroenteritis and colitis of infectious origin,1A40.Z,category,01,Infectious gastroenteritis or colitis without specification of infectious agent
A09.9,category,I,Gastroenteritis and colitis of unspecified origin,1A40.0,category,01,Gastroenteritis or colitis without specification of origin
A15-A19,block,I,Tuberculosis,1B1Z,category,01,"Tuberculosis, unspecified"
A15,category,I,"Respiratory tuberculosis, bacteriologically and histologically confirmed",1B10.0,category,01,"Respiratory tuberculosis, confirmed"
A15.0,category,I,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",1B10.0,category,01,"Respiratory tuberculosis, confirmed"
A15.1,category,I,"Tuberculosis of lung, confirmed by culture only",1B10.0,category,01,"Respiratory tuberculosis, confirmed"
A15.2,category,I,"Tuberculosis of lung, confirmed histologically",1B10.0,category,01,"Respiratory tuberculosis, confirmed"
A15.3,category,I,"Tuberculosis of lung, confirmed by unspecified means",1B10.0,category,01,"Respiratory tuberculosis, confirmed"
A15.4,category,I,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",1B10.0,category,01,"Respiratory tuberculosis, confirmed"
A15.5,category,I,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",1B10.0,category,01,"Respiratory tuberculosis, confirmed"
A15.6,category,I,"Tuberculous pleurisy, confirmed bacteriologically and histologically",1B10.0,category,01,"Respiratory tuberculosis, confirmed"
A15.7,category,I,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",1B10.0,category,01,"Respiratory tuberculosis, confirmed"
