entityId,code,title,classKind,depthInKind,chapterNo,parentEntityId
183283901,1A62.1,Cardiovascular late syphilis,category,2,01,854229089
1883423833,1A62.2,Symptomatic late syphilis of other sites,category,2,01,854229089
551528014,1A62.20,Ocular late syphilis,category,3,01,1883423833
2063826056,1A62.21,Late syphilis involving the musculoskeletal system,category,3,01,1883423833
1934471301,1A62.22,Late syphilis of skin or mucous membranes,category,3,01,1883423833
900000026,1A62.2Y,Symptomatic late syphilis of other specified sites,category,3,01,1883423833
900000027,1A62.2Z,Symptomatic late syphilis of unspecified site,category,3,01,1883423833
900000028,1A62.Y,Other specified late syphilis,category,2,01,854229089
900000029,1A62.Z,"Late syphilis, unspecified",category,2,01,854229089
370440252,1A63,"Latent syphilis, unspecified as early or late",category,1,01,455894495
900000030,1A6Z,"Syphilis, unspecified",category,1,01,455894495
609214049,,Gonococcal infection,block,2,01,1904876434
1977691885,1A70,Gonococcal genitourinary infection,category,1,01,609214049
762120574,1A70.0,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,category,2,01,1977691885
1112016389,1A70.00,Gonorrhoea of penis,category,3,01,762120574
900000031,1A70.0Y,Other specified gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,category,3,01,762120574
900000032,1A70.0Z,"Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess, unspecified",category,3,01,762120574
1210500328,1A70.1,Gonococcal infection of lower genitourinary tract with periurethral or accessory gland abscess,category,2,01,1977691885
900000033,1A70.Y,Gonococcal infection of other specified genitourinary organ,category,2,01,1977691885
900000034,1A70.Z,"Gonococcal genitourinary infection, unspecified",category,2,01,1977691885
1015780375,1A71,Gonococcal pelviperitonitis,category,1,01,609214049
840155638,1A72,Gonococcal infection of other sites,category,1,01,609214049
707709463,1A72.0,Gonococcal infection of musculoskeletal system,category,2,01,840155638
359736861,1A72.1,Gonococcal infection of rectum,category,2,01,840155638
1002985340,1A72.2,Gonococcal infection of anus,category,2,01,840155638
1332021123,1A72.3,Gonococcal pharyngitis,category,2,01,840155638
1505778051,1A72.4,Gonococcal infection of eye,category,2,01,840155638
900000035,1A72.Y,Gonococcal infection of other specified sites,category,2,01,840155638
2046292009,1A73,Disseminated gonococcal infection,category,1,01,609214049
900000036,1A7Z,"Gonococcal infection, unspecified",category,1,01,609214049
251474152,,Sexually transmissible infections due to chlamydia,block,2,01,1904876434
1090786293,1A80,Chlamydial lymphogranuloma,category,1,01,251474152
900285196,1A81,Non-ulcerative sexually transmitted chlamydial infection,category,1,01,251474152
806511043,1A81.0,Chlamydial infection of lower genitourinary tract,category,2,01,900285196
1431940183,1A81.1,Chlamydial infection of internal reproductive organs,category,2,01,900285196
900000037,1A81.Y,Non-ulcerative sexually transmitted chlamydial infection of other specified site,category,2,01,900285196
900000038,1A81.Z,Non-ulcerative sexually transmitted chlamydial infection of unspecified site,category,2,01,900285196
900000039,1A8Y,Other specified sexually transmissible infections due to chlamydia,category,1,01,251474152
900000040,1A8Z,"Sexually transmissible infections due to chlamydia, unspecified",category,1,01,251474152
1357024926,1A90,Chancroid,category,1,01,1904876434
764124124,1A91,Granuloma inguinale,category,1,01,1904876434
1220564554,1A92,Trichomoniasis,category,1,01,1904876434
1372745524,1A93,Sexually transmissible infestations,category,1,01,1904876434
616315615,1A94,Anogenital herpes simplex infection,category,1,01,1904876434
666746193,1A94.0,Herpes simplex infection of genitalia or urogenital tract,category,2,01,616315615
1123446981,1A94.1,Herpes simplex infection of perianal skin or rectum,category,2,01,616315615
900000041,1A94.Z,Anogenital herpes simplex infection without further specification,category,2,01,616315615
641342831,1A95,Anogenital warts,category,1,01,1904876434
1987223744,1A95.0,Anal warts,category,2,01,641342831
144526718,1A95.1,Genital warts,category,2,01,641342831
158514824,1A95.2,Extragenital condylomata acuminata,category,2,01,641342831
900000042,1A95.Z,"Anogenital warts, unspecified",category,2,01,641342831
900000043,1A9Y,Other specified predominantly sexually transmitted infections,category,1,01,1904876434
900000044,1A9Z,"Predominantly sexually transmitted infections, unspecified",category,1,01,1904876434
979278646,,Mycobacterial diseases,block,1,01,1435254666
2072728114,,Tuberculosis,block,2,01,979278646
882244568,1B10,Tuberculosis of the respiratory system,category,1,01,2072728114
983550510,1B10.0,"Respiratory tuberculosis, confirmed",category,2,01,882244568
1311939281,1B10.1,"Respiratory tuberculosis, not confirmed",category,2,01,882244568
900000045,1B10.Z,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation",category,2,01,882244568
729372485,1B11,Tuberculosis of the nervous system,category,1,01,2072728114
1820468614,1B11.0,Tuberculous meningitis,category,2,01,729372485
539334538,1B11.1,Tuberculous meningoencephalitis,category,2,01,729372485
164227092,1B11.2,Meningeal tuberculoma,category,2,01,729372485
1199221405,1B11.3,Tuberculous granuloma of brain,category,2,01,729372485
900000046,1B11.Y,Other tuberculosis of nervous system,category,2,01,729372485
