code,level,preferred,term,codeReference,obs,seeAlso,excludes,other,description
80750/3,Synonym,0,"Squamous cell carcinoma, adenoid",,,,,,"Squamous cell carcinoma, adenoid"
80750/3,Synonym,0,"Squamous cell carcinoma, pseudoglandular",,,,,,"Squamous cell carcinoma, pseudoglandular"
80760/2,Preferred,1,Squamous cell carcinoma in situ with questionable stromal invasion,,,,,,Squamous cell carcinoma in situ with questionable stromal invasion
80760/2,Synonym,0,Epidermoid carcinoma in situ with questionable stromal invasion,,,,,,Epidermoid carcinoma in situ with questionable stromal invasion
80760/3,Preferred,1,"Squamous cell carcinoma, microinvasive",,,,,,"Squamous cell carcinoma, microinvasive"
80770/0,Preferred,1,"Squamous intraepithelial neoplasia, low-grade",,,,,,"Squamous intraepithelial neoplasia, low-grade"
80770/0,Synonym,0,"Low-grade squamous intraepithelial lesion, NOS",,,,,,"Low-grade squamous intraepithelial lesion, NOS"
80770/0,Synonym,0,"Squamous dysplasia, low-grade",,,,,,"Squamous dysplasia, low-grade"
80770/0,Related,0,"Oesophageal squamous dysplasia, low-grade",C15._,,,,,"Oesophageal squamous dysplasia, low-grade (C15._)"
80770/0,Synonym,0,"Oesophageal squamous intraepithelial neoplasia, low-grade",C15._,,,,,"Oesophageal squamous intraepithelial neoplasia, low-grade (C15._)"
80770/0,Related,0,"Low-grade squamous intraepithelial lesion, HPV-associated",,,,,,"Low-grade squamous intraepithelial lesion, HPV-associated"
80770/0,Related,0,"Anal intraepithelial neoplasia, low-grade",C21.1,,,,,"Anal intraepithelial neoplasia, low-grade (C21.1)"
80770/0,Related,0,"Cervical intraepithelial neoplasia, low-grade",C53._,,,,,"Cervical intraepithelial neoplasia, low-grade (C53._)"
80770/0,Related,0,"Penile intraepithelial neoplasia, HPV-associated, low-grade",C60._,,,,,"Penile intraepithelial neoplasia, HPV-associated, low-grade (C60._)"
80771/0,Preferred,1,"Squamous intraepithelial neoplasia, grade 1",,,,,,"Squamous intraepithelial neoplasia, grade 1"
80771/0,Synonym,0,"Squamous intraepithelial neoplasia, mild dysplasia",,,,,,"Squamous intraepithelial neoplasia, mild dysplasia"
80771/0,Synonym,0,Mild squamous dysplasia,,,,,,Mild squamous dysplasia
80771/0,Related,0,"Vaginal intraepithelial neoplasia, grade 1",C52.9,,,,,"Vaginal intraepithelial neoplasia, grade 1 (C52.9)"
80771/0,Synonym,0,VAIN 1,C52.9,,,,,VAIN 1 (C52.9)
80771/0,Related,0,"Vulvar intraepithelial neoplasia, grade 1",C51._,,,,,"Vulvar intraepithelial neoplasia, grade 1 (C51._)"
80771/0,Synonym,0,VIN 1,C51._,,,,,VIN 1 (C51._)
80771/0,Related,0,"Anal intraepithelial neoplasia, grade 1",C21.1,,,,,"Anal intraepithelial neoplasia, grade 1 (C21.1)"
80771/0,Synonym,0,AIN 1,C21.1,,,,,AIN 1 (C21.1)
80771/0,Related,0,"Conjunctival squamous intraepithelial neoplasia, mild dysplasia",C69.0,,,,,"Conjunctival squamous intraepithelial neoplasia, mild dysplasia (C69.0)"
