code,level,preferred,term,codeReference,obs,seeAlso,excludes,other,description
93854/3,Preferred,1,"Diffuse hemispheric glioma, H3 G34-mutant",,,,,,"Diffuse hemispheric glioma, H3 G34-mutant"
93855/3,Preferred,1,"Diffuse paediatric-type high-grade glioma, H3-wildtype and IDH-wildtype",,,,,,"Diffuse paediatric-type high-grade glioma, H3-wildtype and IDH-wildtype"
93856/3,Preferred,1,"Infant-type hemispheric glioma, NOS",,,,,,"Infant-type hemispheric glioma, NOS"
93857/3,Preferred,1,"Infant-type hemispheric glioma, NTRK-altered",,,,,,"Infant-type hemispheric glioma, NTRK-altered"
93858/3,Preferred,1,"Infant-type hemispheric glioma, ROS1-altered",,,,,,"Infant-type hemispheric glioma, ROS1-altered"
93859/3,Preferred,1,"Infant-type hemispheric glioma, ALK-altered",,,,,,"Infant-type hemispheric glioma, ALK-altered"
9385A/3,Preferred,1,"Infant-type hemispheric glioma, MET-altered",,,,,,"Infant-type hemispheric glioma, MET-altered"
9385B/3,Preferred,1,"Diffuse midline glioma, EGFR-mutant",,,,,,"Diffuse midline glioma, EGFR-mutant"
9385C/3,Preferred,1,Diffuse paediatric-type high-grade glioma RTK2,,,,,,Diffuse paediatric-type high-grade glioma RTK2
9385D/3,Preferred,1,Diffuse paediatric-type high-grade glioma RTK1,,,,,,Diffuse paediatric-type high-grade glioma RTK1
9385E/3,Preferred,1,Diffuse paediatric-type high-grade glioma MYCN,,,,,,Diffuse paediatric-type high-grade glioma MYCN
9385F/3,Preferred,1,"Diffuse midline glioma, H3-wildtype with EZHIP overexpression",,,,,,"Diffuse midline glioma, H3-wildtype with EZHIP overexpression"
93900/0,Preferred,1,"Choroid plexus papilloma, NOS",C71.5,,,,,"Choroid plexus papilloma, NOS (C71.5)"
93900/1,Preferred,1,Atypical choroid plexus papilloma,C71.5,,,,,Atypical choroid plexus papilloma (C71.5)
93900/3,Preferred,1,Choroid plexus carcinoma,C71.5,,,,,Choroid plexus carcinoma (C71.5)
93900/3,Synonym,0,"Choroid plexus papilloma, anaplastic",C71.5,,,,,"Choroid plexus papilloma, anaplastic (C71.5)"
93900/3,Synonym,0,"Choroid plexus papilloma, malignant",C71.5,,,,,"Choroid plexus papilloma, malignant (C71.5)"
93910/1,Preferred,1,Ependymal pituicytoma,C75.1,,,,,Ependymal pituicytoma (C75.1)
93910/1,Synonym,0,Sellar ependymoma,C75.1,,,,,Sellar ependymoma (C75.1)
93910/1,Synonym,0,Pituicytoma with ependymal features,C75.1,,,,,Pituicytoma with ependymal features (C75.1)
93910/3,Preferred,1,"Ependymoma, NOS",C71._,,,,,"Ependymoma, NOS (C71._)"
93910/3,Synonym,0,Epithelial ependymoma,C71._,,,,,Epithelial ependymoma (C71._)
93910/3,Related,0,"Ependymoma, supratentorial",,,,,,"Ependymoma, supratentorial"
93910/3,Related,0,"Ependymoma, spinal",C72.0,,,,,"Ependymoma, spinal (C72.0)"
93910/3,Related,0,"Ependymoma, posterior fossa",,,,,,"Ependymoma, posterior fossa"
93911/3,Preferred,1,Cellular ependymoma,C71._,,,,,Cellular ependymoma (C71._)
93912/3,Preferred,1,Clear cell ependymoma,C71._,,,,,Clear cell ependymoma (C71._)
93913/3,Preferred,1,Tanycytic ependymoma,C71._,,,,,Tanycytic ependymoma (C71._)
93920/3,Preferred,1,"Ependymoma, anaplastic",C71._,,,,,"Ependymoma, anaplastic (C71._)"
93920/3,Synonym,0,Ependymoblastoma,C71._,,,,,Ependymoblastoma (C71._)
93930/3,Preferred,1,Papillary ependymoma,C71._,,,,,Papillary ependymoma (C71._)
93940/1,Preferred,1,Myxopapillary ependymoma,C72.0,,,,,Myxopapillary ependymoma (C72.0)
93950/3,Preferred,1,Papillary tumour of pineal region,C75.3,,,,,Papillary tumour of pineal region (C75.3)
93960/3,Preferred,1,"Ependymoma, RELA fusion-positive",C71._,,,,,"Ependymoma, RELA fusion-positive (C71._)"
93961/3,Preferred,1,"Supratentorial ependymoma, ZFTA fusion-positive",,,,,,"Supratentorial ependymoma, ZFTA fusion-positive"
93962/3,Preferred,1,"Supratentorial ependymoma, YAP1 fusion-positive",,,,,,"Supratentorial ependymoma, YAP1 fusion-positive"
93963/3,Preferred,1,Posterior fossa group A (PFA) ependymoma,,,,,,Posterior fossa group A (PFA) ependymoma
93964/3,Preferred,1,Posterior fossa group B (PFB) ependymoma,,,,,,Posterior fossa group B (PFB) ependymoma
93965/3,Preferred,1,"Spinal ependymoma, MYCN-amplified",C72.0,,,,,"Spinal ependymoma, MYCN-amplified (C72.0)"
94000/3,Preferred,1,"Astrocytoma, NOS",C71._,,,,,"Astrocytoma, NOS (C71._)"
94000/3,Synonym,0,Astrocytic glioma,C71._,,,,,Astrocytic glioma (C71._)
94000/3,Synonym,0,Astroglioma,C71._,[obs],,,,Astroglioma (C71._) [obs]
94001/3,Preferred,1,"Astrocytoma, low-grade",C71._,,,,,"Astrocytoma, low-grade (C71._)"
94002/3,Preferred,1,"Astrocytoma, grade 2",C71._,,,,,"Astrocytoma, grade 2 (C71._)"
94003/3,Preferred,1,Cystic astrocytoma,C71._,[obs],,,,Cystic astrocytoma (C71._) [obs]
94004/3,Preferred,1,"Diffuse astrocytoma, NOS",C71._,,,,,"Diffuse astrocytoma, NOS (C71._)"
94005/3,Preferred,1,"Diffuse astrocytoma, low-grade",C71._,,,,,"Diffuse astrocytoma, low-grade (C71._)"
94005/3,Synonym,0,"Diffuse astrocytoma, grade 2",C71._,,,,,"Diffuse astrocytoma, grade 2 (C71._)"
94006/3,Preferred,1,"Astrocytoma, IDH-wildtype, NOS",C71._,,,,,"Astrocytoma, IDH-wildtype, NOS (C71._)"
94007/3,Preferred,1,"Astrocytoma, IDH-mutant, NOS",C71._,,,,,"Astrocytoma, IDH-mutant, NOS (C71._)"
94008/3,Preferred,1,"Astrocytoma, IDH-mutant, grade 2",C71._,,,,,"Astrocytoma, IDH-mutant, grade 2 (C71._)"
94008/3,Synonym,0,"Diffuse astrocytoma, IDH-mutant",C71._,,,,,"Diffuse astrocytoma, IDH-mutant (C71._)"
94010/3,Preferred,1,"Astrocytoma, anaplastic, NOS",C71._,,,,,"Astrocytoma, anaplastic, NOS (C71._)"
94010/3,Synonym,0,"Astrocytoma, grade 3, NOS",C71._,,,,,"Astrocytoma, grade 3, NOS (C71._)"
94011/3,Preferred,1,"Astrocytoma, anaplastic, IDH-wildtype",C71._,,,,,"Astrocytoma, anaplastic, IDH-wildtype (C71._)"
94012/3,Preferred,1,"Astrocytoma, IDH-mutant, grade 3",C71._,,,,,"Astrocytoma, IDH-mutant, grade 3 (C71._)"
94012/3,Synonym,0,"Astrocytoma, anaplastic, IDH-mutant",C71._,,,,,"Astrocytoma, anaplastic, IDH-mutant (C71._)"
94100/3,Preferred,1,Protoplasmic astrocytoma,C71._,[obs],,,,Protoplasmic astrocytoma (C71._) [obs]
94110/3,Preferred,1,"Gemistocytic astrocytoma, NOS",C71._,[obs],,,,"Gemistocytic astrocytoma, NOS (C71._) [obs]"
94110/3,Synonym,0,Gemistocytoma,C71._,[obs],,,,Gemistocytoma (C71._) [obs]
94111/3,Preferred,1,"Gemistocytic astrocytoma, IDH-mutant",C71._,[obs],,,,"Gemistocytic astrocytoma, IDH-mutant (C71._) [obs]"
94120/1,Preferred,1,Desmoplastic infantile astrocytoma,C71._,,,,,Desmoplastic infantile astrocytoma (C71._)
94121/1,Preferred,1,Desmoplastic infantile ganglioglioma,C71._,,,,,Desmoplastic infantile ganglioglioma (C71._)
94130/0,Preferred,1,Dysembryoplastic neuroepithelial tumour,C71._,,,,,Dysembryoplastic neuroepithelial tumour (C71._)
94131/0,Preferred,1,Polymorphous low-grade neuroepithelial tumour of young (PLNTY),C71._,,,,,Polymorphous low-grade neuroepithelial tumour of young (PLNTY) (C71._)
94200/3,Preferred,1,Fibrillary astrocytoma,C71._,[obs],,,,Fibrillary astrocytoma (C71._) [obs]
94200/3,Synonym,0,Fibrous astrocytoma,C71._,[obs],,,,Fibrous astrocytoma (C71._) [obs]
94210/1,Preferred,1,"Pilocytic astrocytoma, NOS",C71._,,,,,"Pilocytic astrocytoma, NOS (C71._)"
94210/1,Synonym,0,"Spongioblastoma, NOS",C71._,[obs],,,,"Spongioblastoma, NOS (C71._) [obs]"
94210/1,Synonym,0,Juvenile astrocytoma,C71._,,,,,Juvenile astrocytoma (C71._)
94210/1,Synonym,0,Piloid astrocytoma,C71._,,,,,Piloid astrocytoma (C71._)
94211/1,Preferred,1,"Diffuse astrocytoma, MYB- or MYBL1-altered",C71._,,,,,"Diffuse astrocytoma, MYB- or MYBL1-altered (C71._)"
94212/1,Preferred,1,"Diffuse astrocytoma, MYB-altered",C71._,,,,,"Diffuse astrocytoma, MYB-altered (C71._)"
94213/1,Preferred,1,"Diffuse astrocytoma, MYBL1-altered",C71._,,,,,"Diffuse astrocytoma, MYBL1-altered (C71._)"
94214/1,Preferred,1,"Diffuse low-grade glioma, MAPK pathway-altered",C71._,,,,,"Diffuse low-grade glioma, MAPK pathway-altered (C71._)"
94214/1,Synonym,0,"Oligodendroglioma, paediatric-type",C71._,[obs],,,,"Oligodendroglioma, paediatric-type (C71._) [obs]"
94215/1,Preferred,1,"Diffuse low-grade glioma, FGFR1 tyrosine kinase domain-duplicated",C71._,,,,,"Diffuse low-grade glioma, FGFR1 tyrosine kinase domain-duplicated (C71._)"
94216/1,Preferred,1,"Diffuse low-grade glioma, FGFR1-mutant",C71._,,,,,"Diffuse low-grade glioma, FGFR1-mutant (C71._)"
94217/1,Preferred,1,"Diffuse low-grade glioma, BRAF p.V600E-mutant",C71._,,,,,"Diffuse low-grade glioma, BRAF p.V600E-mutant (C71._)"
94218/1,Preferred,1,Pilocytic astrocytoma with histological features of anaplasia,C71._,,,,,Pilocytic astrocytoma with histological features of anaplasia (C71._)
94210/3,Preferred,1,High-grade astrocytoma with piloid features,C71._,,,,,High-grade astrocytoma with piloid features (C71._)
94230/3,Preferred,1,Polar spongioblastoma,C71._,[obs],,,,Polar spongioblastoma (C71._) [obs]
94230/3,Synonym,0,Primitive polar spongioblastoma,C71._,[obs],,,,Primitive polar spongioblastoma (C71._) [obs]
94230/3,Synonym,0,Spongioblastoma polare,C71._,[obs],,,,Spongioblastoma polare (C71._) [obs]
94240/3,Preferred,1,"Pleomorphic xanthoastrocytoma, NOS",C71._,,,,,"Pleomorphic xanthoastrocytoma, NOS (C71._)"
94241/3,Preferred,1,"Pleomorphic xanthoastrocytoma, grade 2",C71._,,,,,"Pleomorphic xanthoastrocytoma, grade 2 (C71._)"
94242/3,Preferred,1,"Pleomorphic xanthoastrocytoma, grade 3",C71._,,,,,"Pleomorphic xanthoastrocytoma, grade 3 (C71._)"
94242/3,Synonym,0,Anaplastic pleomorphic xanthoastrocytoma,C71._,,,,,Anaplastic pleomorphic xanthoastrocytoma (C71._)
94250/3,Preferred,1,Pilomyxoid astrocytoma,C71._,,,,,Pilomyxoid astrocytoma (C71._)
94300/3,Preferred,1,"Astroblastoma, NOS",C71._,[obs],,,,"Astroblastoma, NOS (C71._) [obs]"
94301/3,Preferred,1,"Astroblastoma, MN1-altered",C71._,,,,,"Astroblastoma, MN1-altered (C71._)"
94310/1,Preferred,1,Angiocentric glioma,C71._,,,,,Angiocentric glioma (C71._)
94320/1,Preferred,1,"Pituicytoma, NOS",C75.1,,,,,"Pituicytoma, NOS (C75.1)"
94400/3,Preferred,1,"Glioblastoma, NOS",C71._,,,,,"Glioblastoma, NOS (C71._)"
94400/3,Synonym,0,Spongioblastoma multiforme,C71._,,,,,Spongioblastoma multiforme (C71._)
94400/3,Synonym,0,Glioblastoma multiforme,C71._,,,,,Glioblastoma multiforme (C71._)
94401/3,Preferred,1,Epithelioid glioblastoma,C71._,,,,,Epithelioid glioblastoma (C71._)
94402/3,Preferred,1,"Glioblastoma, IDH-wildtype",C71._,,,,,"Glioblastoma, IDH-wildtype (C71._)"
94402/3,Synonym,0,"Glioblastoma, primary, NOS",C71._,,,,,"Glioblastoma, primary, NOS (C71._)"
94410/3,Preferred,1,Giant cell glioblastoma,C71._,,,,,Giant cell glioblastoma (C71._)
94410/3,Synonym,0,Monstrocellular sarcoma,C71._,[obs],,,,Monstrocellular sarcoma (C71._) [obs]
94420/1,Preferred,1,Gliofibroma,C71._,[obs],,,,Gliofibroma (C71._) [obs]
94420/3,Preferred,1,Gliosarcoma,C71._,,,,,Gliosarcoma (C71._)
94420/3,Synonym,0,Glioblastoma with sarcomatous component,C71._,,,,,Glioblastoma with sarcomatous component (C71._)
94440/1,Preferred,1,Chordoid glioma,C71._,,,,,Chordoid glioma (C71._)
94440/1,Related,0,Chordoid glioma of third ventricle,C71.5,,,,,Chordoid glioma of third ventricle (C71.5)
94450/3,Preferred,1,"Astrocytoma, IDH-mutant, grade 4",C71._,,,,,"Astrocytoma, IDH-mutant, grade 4 (C71._)"
94450/3,Synonym,0,"Glioblastoma, IDH-mutant",C71._,,,,,"Glioblastoma, IDH-mutant (C71._)"
94450/3,Synonym,0,"Glioblastoma, primary, IDH-mutant",C71._,,,,,"Glioblastoma, primary, IDH-mutant (C71._)"
94450/3,Synonym,0,"Glioblastoma, secondary, IDH-mutant",C71._,,,,,"Glioblastoma, secondary, IDH-mutant (C71._)"
94450/3,Synonym,0,"Glioblastoma, secondary, NOS",C71._,,,,,"Glioblastoma, secondary, NOS (C71._)"
94500/3,Preferred,1,"Oligodendroglioma, NOS",C71._,,,,,"Oligodendroglioma, NOS (C71._)"
94501/3,Preferred,1,"Oligodendroglioma, IDH-mutant and 1p/19q-codeleted, NOS",C71._,,,,,"Oligodendroglioma, IDH-mutant and 1p/19q-codeleted, NOS (C71._)"
94502/3,Preferred,1,"Oligodendroglioma, IDH-mutant and 1p/19q-codeleted, grade 2",C71._,,,,,"Oligodendroglioma, IDH-mutant and 1p/19q-codeleted, grade 2 (C71._)"
94502/3,Synonym,0,"Oligodendroglioma, IDH-mutant and 1p/19q-codeleted, low-grade",C71._,,,,,"Oligodendroglioma, IDH-mutant and 1p/19q-codeleted, low-grade (C71._)"
94510/3,Preferred,1,"Oligodendroglioma, anaplastic, NOS",C71._,,,,,"Oligodendroglioma, anaplastic, NOS (C71._)"
94510/3,Synonym,0,"Oligodendroglioma, high-grade/grade 3, NOS",C71._,,,,,"Oligodendroglioma, high-grade/grade 3, NOS (C71._)"
94511/3,Preferred,1,"Oligodendroglioma, IDH-mutant and 1p/19q-codeleted, grade 3",C71._,,,,,"Oligodendroglioma, IDH-mutant and 1p/19q-codeleted, grade 3 (C71._)"
94511/3,Synonym,0,"Oligodendroglioma, anaplastic, IDH-mutant and 1p/19q codeleted",C71._,,,,,"Oligodendroglioma, anaplastic, IDH-mutant and 1p/19q codeleted (C71._)"
94511/3,Synonym,0,"Oligodendroglioma, high-grade, IDH-mutant and 1p/19q codeleted",C71._,,,,,"Oligodendroglioma, high-grade, IDH-mutant and 1p/19q codeleted (C71._)"
94600/3,Preferred,1,Oligodendroblastoma,C71._,[obs],,,,Oligodendroblastoma (C71._) [obs]
94700/3,Preferred,1,"Medulloblastoma, NOS",C71.6,,,,,"Medulloblastoma, NOS (C71.6)"
94701/3,Preferred,1,Classic medulloblastoma,C71.6,,,,,Classic medulloblastoma (C71.6)
94702/3,Preferred,1,Melanotic medulloblastoma,C71.6,,,,,Melanotic medulloblastoma (C71.6)
94710/3,Preferred,1,Desmoplastic nodular medulloblastoma,C71.6,,,,,Desmoplastic nodular medulloblastoma (C71.6)
94710/3,Synonym,0,Circumscribed arachnoidal cerebellar sarcoma,C71.6,[obs],,,,Circumscribed arachnoidal cerebellar sarcoma (C71.6) [obs]
94710/3,Synonym,0,"Desmoplastic medulloblastoma, NOS",C71.6,,,,,"Desmoplastic medulloblastoma, NOS (C71.6)"
94711/3,Preferred,1,Medulloblastoma with extensive nodularity,C71.6,,,,,Medulloblastoma with extensive nodularity (C71.6)
94712/3,Preferred,1,"Medulloblastoma, SHH-activated and TP53-wildtype",C71.6,,,,,"Medulloblastoma, SHH-activated and TP53-wildtype (C71.6)"
94713/3,Preferred,1,"Medulloblastoma, SHH activated, NOS",C71.6,,,,,"Medulloblastoma, SHH activated, NOS (C71.6)"
94720/3,Preferred,1,Medullomyoblastoma,C71.6,[obs],,,,Medullomyoblastoma (C71.6) [obs]
94730/3,Preferred,1,"CNS embryonal tumour, NEC/NOS",,,,,,"CNS embryonal tumour, NEC/NOS"
94730/3,Synonym,0,"CNS embryonal tumour, NOS",,,,,,"CNS embryonal tumour, NOS"
94730/3,Synonym,0,"Primitive neuroectodermal tumour, NOS",,,,,,"Primitive neuroectodermal tumour, NOS"
94730/3,Synonym,0,"PNET, NOS",,,(See also M-93641/3 for PNET arising in peripheral (non-CNS) sites),,,"PNET, NOS (See also M-93641/3 for PNET arising in peripheral (non-CNS) sites)"
94730/3,Synonym,0,Central primitive neuroectodermal tumour,C71._,,,,,Central primitive neuroectodermal tumour (C71._)
94730/3,Synonym,0,CPNET,C71._,,,,,CPNET (C71._)
94730/3,Synonym,0,Supratentorial PNET,C71._,,,,,Supratentorial PNET (C71._)
94740/3,Preferred,1,Large cell medulloblastoma,C71.6,,,,,Large cell medulloblastoma (C71.6)
94741/3,Preferred,1,Anaplastic medulloblastoma,C71.6,,,,,Anaplastic medulloblastoma (C71.6)
94750/3,Preferred,1,"Medulloblastoma, WNT-activated, NOS",C71.6,,,,,"Medulloblastoma, WNT-activated, NOS (C71.6)"
94751/3,Preferred,1,"Medulloblastoma, WNT-activated, classic",C71.6,,,,,"Medulloblastoma, WNT-activated, classic (C71.6)"
94752/3,Preferred,1,"Medulloblastoma, WNT-activated, large cell type",C71.6,,,,,"Medulloblastoma, WNT-activated, large cell type (C71.6)"
94753/3,Preferred,1,"Medulloblastoma, WNT-activated, anaplastic type",C71.6,,,,,"Medulloblastoma, WNT-activated, anaplastic type (C71.6)"
94760/3,Preferred,1,"Medulloblastoma, SHH-activated and TP53-mutant",C71.6,,,,,"Medulloblastoma, SHH-activated and TP53-mutant (C71.6)"
94770/3,Preferred,1,"Medulloblastoma, non-WNT/non-SHH",C71.6,,,,,"Medulloblastoma, non-WNT/non-SHH (C71.6)"
94771/3,Preferred,1,"Medulloblastoma, group 3",C71.6,,,,,"Medulloblastoma, group 3 (C71.6)"
94772/3,Preferred,1,"Medulloblastoma, group 4",C71.6,,,,,"Medulloblastoma, group 4 (C71.6)"
94780/3,Preferred,1,"Embryonal tumour with multilayered rosettes, NOS",C71._,,,,,"Embryonal tumour with multilayered rosettes, NOS (C71._)"
94781/3,Preferred,1,"Embryonal tumour with multilayered rosettes, C19MC-altered",C71._,,,,,"Embryonal tumour with multilayered rosettes, C19MC-altered (C71._)"
94781/3,Synonym,0,Embryonal tumour with multilayered rosettes with C19MC-alteration,C71._,,,,,Embryonal tumour with multilayered rosettes with C19MC-alteration (C71._)
94782/3,Preferred,1,"Embryonal tumour with multilayered rosettes, DICER1-mutated",C71._,,,,,"Embryonal tumour with multilayered rosettes, DICER1-mutated (C71._)"
94800/3,Preferred,1,"Cerebellar sarcoma, NOS",C71.6,[obs],,,,"Cerebellar sarcoma, NOS (C71.6) [obs]"
94801/3,Preferred,1,"Primary intracranial sarcoma, DICER1-mutant",C71._,,,,,"Primary intracranial sarcoma, DICER1-mutant (C71._)"
94900/0,Preferred,1,"Ganglioneuroma, NOS",,,,,,"Ganglioneuroma, NOS"
94901/0,Preferred,1,Maturing ganglioneuroma,,,,,,Maturing ganglioneuroma
94902/0,Preferred,1,Mature ganglioneuroma,,,,,,Mature ganglioneuroma
94900/3,Preferred,1,"Ganglioneuroblastoma, NOS",,,,,,"Ganglioneuroblastoma, NOS"
94900/3,Related,0,CNS ganglioneuroblastoma,,,,,,CNS ganglioneuroblastoma
94903/3,Preferred,1,"Ganglioneuroblastoma, intermixed",,,,,,"Ganglioneuroblastoma, intermixed"
94903/3,Synonym,0,Schwannian stroma-rich intermixed tumour,,,,,,Schwannian stroma-rich intermixed tumour
94904/3,Preferred,1,"Ganglioneuroblastoma, nodular",,,,,,"Ganglioneuroblastoma, nodular"
94910/0,Preferred,1,Ganglioneuromatosis,,,,,,Ganglioneuromatosis
94920/0,Preferred,1,"Gangliocytoma, NOS",,,,,,"Gangliocytoma, NOS"
94921/0,Preferred,1,Mixed gangliocytoma-PitNET/adenoma,,,,,,Mixed gangliocytoma-PitNET/adenoma
94930/0,Preferred,1,Dysplastic cerebellar gangliocytoma (Lhermitte-Duclos disease),C71.6,,,,,Dysplastic cerebellar gangliocytoma (Lhermitte-Duclos disease) (C71.6)
94930/0,Synonym,0,Dysplastic gangliocytoma of cerebellum (Lhermitte-Duclos disease),C71.6,,,,,Dysplastic gangliocytoma of cerebellum (Lhermitte-Duclos disease) (C71.6)
95000/3,Preferred,1,"Neuroblastoma, NOS",,,,(except olfactory M-95220/3),,"Neuroblastoma, NOS (except olfactory M-95220/3)"
95000/3,Synonym,0,Central neuroblastoma,C71._,,,,,Central neuroblastoma (C71._)
95000/3,Synonym,0,"CNS neuroblastoma, NOS",,,,,,"CNS neuroblastoma, NOS"
95000/3,Synonym,0,Sympathicoblastoma,,[obs],,,,Sympathicoblastoma [obs]
95001/3,Preferred,1,"CNS neuroblastoma, FOXR2-activated",,,,,,"CNS neuroblastoma, FOXR2-activated"
95002/3,Preferred,1,CNS tumour with BCOR internal tandem duplication,,,,,,CNS tumour with BCOR internal tandem duplication
95003/3,Preferred,1,Undifferentiated neuroblastoma,,,,,,Undifferentiated neuroblastoma
95004/3,Preferred,1,Poorly differentiated neuroblastoma,,,,,,Poorly differentiated neuroblastoma
95005/3,Preferred,1,Differentiating neuroblastoma,,,,,,Differentiating neuroblastoma
95010/0,Preferred,1,"Medulloepithelioma, benign",C69.4,,,,,"Medulloepithelioma, benign (C69.4)"
95010/0,Synonym,0,"Diktyoma, benign",C69._,,,,,"Diktyoma, benign (C69._)"
95010/0,Synonym,0,"Non-teratoid medulloepithelioma, benign",,,,,,"Non-teratoid medulloepithelioma, benign"
95010/3,Preferred,1,"Medulloepithelioma, NOS",,,,,,"Medulloepithelioma, NOS"
95010/3,Synonym,0,"Medulloepithelioma, malignant",,,,,,"Medulloepithelioma, malignant"
95010/3,Synonym,0,"Diktyoma, malignant",C69._,,,,,"Diktyoma, malignant (C69._)"
95010/3,Synonym,0,"Non-teratoid medulloepithelioma, malignant",,,,,,"Non-teratoid medulloepithelioma, malignant"
95020/0,Preferred,1,"Teratoid medulloepithelioma, benign",C69.4,,,,,"Teratoid medulloepithelioma, benign (C69.4)"
95020/3,Preferred,1,"Teratoid medulloepithelioma, NOS",,,,,,"Teratoid medulloepithelioma, NOS"
95020/3,Synonym,0,"Teratoid medulloepithelioma, malignant",,,,,,"Teratoid medulloepithelioma, malignant"
95030/3,Preferred,1,"Neuroepithelioma, NOS",,,,,,"Neuroepithelioma, NOS"
95040/3,Preferred,1,Spongioneuroblastoma,,,,,,Spongioneuroblastoma
95050/1,Preferred,1,"Ganglioglioma, NOS",,,,,,"Ganglioglioma, NOS"
95050/1,Synonym,0,Glioneuroma,,[obs],,,,Glioneuroma [obs]
95050/1,Synonym,0,Neuroastrocytoma,,[obs],,,,Neuroastrocytoma [obs]
95050/3,Preferred,1,"Ganglioglioma, anaplastic",,,,,,"Ganglioglioma, anaplastic"
95060/1,Preferred,1,Sellar neurocytoma,C75.1,,,,,Sellar neurocytoma (C75.1)
95060/1,Synonym,0,Neurocytoma of sellar region,C75.1,,,(except olfactory M-95210/3),,Neurocytoma of sellar region (C75.1) (except olfactory M-95210/3)
95060/1,Related,0,Central neurocytoma,,,,(except olfactory M-95210/3),,Central neurocytoma (except olfactory M-95210/3)
95060/1,Synonym,0,"Neurocytoma, NOS",,,,(except olfactory M-95210/3),,"Neurocytoma, NOS (except olfactory M-95210/3)"
95060/1,Related,0,Hypothalamic neurocytoma,C71.0,,,(except olfactory M-95210/3),,Hypothalamic neurocytoma (C71.0) (except olfactory M-95210/3)
95061/1,Preferred,1,Cerebellar liponeurocytoma,C71.6,,,,,Cerebellar liponeurocytoma (C71.6)
95061/1,Synonym,0,Lipomatous medulloblastoma,C71.6,,,,,Lipomatous medulloblastoma (C71.6)
95061/1,Synonym,0,Medullocytoma,C71.6,,,,,Medullocytoma (C71.6)
95061/1,Synonym,0,Neurolipocytoma,C71.6,,,,,Neurolipocytoma (C71.6)
95062/1,Preferred,1,Extraventricular neurocytoma,,,,(except olfactory M-95210/3),,Extraventricular neurocytoma (except olfactory M-95210/3)
95070/0,Preferred,1,Pacinian tumour,,,,,,Pacinian tumour
95080/3,Preferred,1,CNS embryonal tumour with rhabdoid features,C71._,,,,,CNS embryonal tumour with rhabdoid features (C71._)
95081/3,Preferred,1,"Atypical teratoid/rhabdoid tumour, NOS",C71._,,,(except of kidney M-89630/3),,"Atypical teratoid/rhabdoid tumour, NOS (C71._) (except of kidney M-89630/3)"
95082/3,Preferred,1,Atypical teratoid/rhabdoid tumour SHH,C71._,,,,,Atypical teratoid/rhabdoid tumour SHH (C71._)
95083/3,Preferred,1,Atypical teratoid/rhabdoid tumour TYR,C71._,,,,,Atypical teratoid/rhabdoid tumour TYR (C71._)
95084/3,Preferred,1,Atypical teratoid/rhabdoid tumour MYC,C71._,,,,,Atypical teratoid/rhabdoid tumour MYC (C71._)
95090/0,Preferred,1,Multinodular and vacuolating neuronal tumour,C71._,,,,,Multinodular and vacuolating neuronal tumour (C71._)
95090/1,Preferred,1,Papillary glioneuronal tumour,C71._,,,,,Papillary glioneuronal tumour (C71._)
95091/1,Preferred,1,Rosette-forming glioneuronal tumour,C71._,,,,,Rosette-forming glioneuronal tumour (C71._)
95092/1,Preferred,1,Myxoid glioneuronal tumour,C71._,,,,,Myxoid glioneuronal tumour (C71._)
95093/1,Preferred,1,"Glioneuronal tumour, NOS",C71._,,,,,"Glioneuronal tumour, NOS (C71._)"
95090/3,Preferred,1,"Diffuse leptomeningeal glioneuronal tumour, NOS",,,,,,"Diffuse leptomeningeal glioneuronal tumour, NOS"
95091/3,Preferred,1,Diffuse leptomeningeal glioneuronal tumour with 1q gain,,,,,,Diffuse leptomeningeal glioneuronal tumour with 1q gain
95092/3,Preferred,1,"Diffuse leptomeningeal glioneuronal tumour, methylation class 1 (DLGNT-MC-1)",,,,,,"Diffuse leptomeningeal glioneuronal tumour, methylation class 1 (DLGNT-MC-1)"
95093/3,Preferred,1,"Diffuse leptomeningeal glioneuronal tumour, methylation class 2 (DLGNT-MC-2)",,,,,,"Diffuse leptomeningeal glioneuronal tumour, methylation class 2 (DLGNT-MC-2)"
95100/0,Preferred,1,Retinocytoma,C69.2,,,,,Retinocytoma (C69.2)
95100/3,Preferred,1,"Retinoblastoma, NOS",C69.2,,,(except of pineal gland M-93626/3),,"Retinoblastoma, NOS (C69.2) (except of pineal gland M-93626/3)"
95101/3,Preferred,1,Unilateral retinoblastoma,C69.2,,,,,Unilateral retinoblastoma (C69.2)
95102/3,Preferred,1,Bilateral retinoblastoma,C69.2,,,,,Bilateral retinoblastoma (C69.2)
95103/3,Preferred,1,Trilateral retinoblastoma,C69.2,,,,,Trilateral retinoblastoma (C69.2)
95110/3,Preferred,1,"Retinoblastoma, differentiated",C69.2,,,,,"Retinoblastoma, differentiated (C69.2)"
95120/3,Preferred,1,"Retinoblastoma, undifferentiated",C69.2,,,,,"Retinoblastoma, undifferentiated (C69.2)"
95130/3,Preferred,1,"Retinoblastoma, diffuse",C69.2,,,,,"Retinoblastoma, diffuse (C69.2)"
95140/1,Preferred,1,"Retinoblastoma, spontaneously regressed",C69.2,,,,,"Retinoblastoma, spontaneously regressed (C69.2)"
95200/3,Preferred,1,Olfactory neurogenic tumour,,,,,,Olfactory neurogenic tumour
