icd10_code,icd10_desc,icdo4_code,icdo4_desc
C44.81,Basal cell carcinoma of overlapping sites of skin,80230/3,"Carcinoma, NUT adnexal"
C44.82,Squamous cell carcinoma of overlapping sites of skin,80230/3,"Carcinoma, NUT adnexal"
C44.89,Other specified malignant neoplasm of overlapping sites of skin,80230/3,"Carcinoma, NUT adnexal"
C44.9,"Other and unspecified malignant neoplasm of skin, unspecified",80230/3,"Carcinoma, NUT adnexal"
C44.90,"Unspecified malignant neoplasm of skin, unspecified",80230/3,"Carcinoma, NUT adnexal"
C44.91,"Basal cell carcinoma of skin, unspecified",80230/3,"Carcinoma, NUT adnexal"
C44.92,"Squamous cell carcinoma of skin, unspecified",80230/3,"Carcinoma, NUT adnexal"
C44.99,"Other specified malignant neoplasm of skin, unspecified",80230/3,"Carcinoma, NUT adnexal"
C08.0,Malignant neoplasm of submandibular gland,80331/3,"Salivary duct carcinoma, sarcomatoid"
C08.1,Malignant neoplasm of sublingual gland,80331/3,"Salivary duct carcinoma, sarcomatoid"
C08.9,"Malignant neoplasm of major salivary gland, unspecified",80331/3,"Salivary duct carcinoma, sarcomatoid"
C34.0,Malignant neoplasm of main bronchus,80410/3,Oat cell carcinoma
C34.00,Malignant neoplasm of unspecified main bronchus,80410/3,Oat cell carcinoma
C34.01,Malignant neoplasm of right main bronchus,80410/3,Oat cell carcinoma
C34.02,Malignant neoplasm of left main bronchus,80410/3,Oat cell carcinoma
C34.1,"Malignant neoplasm of upper lobe, bronchus or lung",80410/3,Oat cell carcinoma
C34.10,"Malignant neoplasm of upper lobe, unspecified bronchus or lung",80410/3,Oat cell carcinoma
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",80410/3,Oat cell carcinoma
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",80410/3,Oat cell carcinoma
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",80410/3,Oat cell carcinoma
C34.3,"Malignant neoplasm of lower lobe, bronchus or lung",80410/3,Oat cell carcinoma
C34.30,"Malignant neoplasm of lower lobe, unspecified bronchus or lung",80410/3,Oat cell carcinoma
C34.31,"Malignant neoplasm of lower lobe, right bronchus or lung",80410/3,Oat cell carcinoma
C34.32,"Malignant neoplasm of lower lobe, left bronchus or lung",80410/3,Oat cell carcinoma
C34.8,Malignant neoplasm of overlapping sites of bronchus and lung,80410/3,Oat cell carcinoma
C34.80,Malignant neoplasm of overlapping sites of unspecified bronchus and lung,80410/3,Oat cell carcinoma
C34.81,Malignant neoplasm of overlapping sites of right bronchus and lung,80410/3,Oat cell carcinoma
C34.82,Malignant neoplasm of overlapping sites of left bronchus and lung,80410/3,Oat cell carcinoma
C34.9,Malignant neoplasm of unspecified part of bronchus or lung,80410/3,Oat cell carcinoma
C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,80410/3,Oat cell carcinoma
C34.91,Malignant neoplasm of unspecified part of right bronchus or lung,80410/3,Oat cell carcinoma
C34.92,Malignant neoplasm of unspecified part of left bronchus or lung,80410/3,Oat cell carcinoma
C56.9,Malignant neoplasm of unspecified ovary,80440/3,"Small cell carcinoma, hypercalcaemic type, NOS"
C56.9,Malignant neoplasm of unspecified ovary,80441/3,"Small cell carcinoma, hypercalcaemic type, large cell subtype"
C30.0,Malignant neoplasm of nasal cavity,80442/3,SWI/SNF complex-deficient sinonasal carcinoma
C30.1,Malignant neoplasm of middle ear,80442/3,SWI/SNF complex-deficient sinonasal carcinoma
C31.0,Malignant neoplasm of maxillary sinus,80442/3,SWI/SNF complex-deficient sinonasal carcinoma
C31.1,Malignant neoplasm of ethmoidal sinus,80442/3,SWI/SNF complex-deficient sinonasal carcinoma
C31.2,Malignant neoplasm of frontal sinus,80442/3,SWI/SNF complex-deficient sinonasal carcinoma
C31.3,Malignant neoplasm of sphenoid sinus,80442/3,SWI/SNF complex-deficient sinonasal carcinoma
C31.8,Malignant neoplasm of overlapping sites of accessory sinuses,80442/3,SWI/SNF complex-deficient sinonasal carcinoma
