icd10_code,icd10_desc,icdo4_code,icdo4_desc
C44.521,Squamous cell carcinoma of skin of breast,90441/3,CRTC1::TRIM11 cutaneous tumour
C44.529,Squamous cell carcinoma of skin of other part of trunk,90441/3,CRTC1::TRIM11 cutaneous tumour
C44.59,Other specified malignant neoplasm of skin of trunk,90441/3,CRTC1::TRIM11 cutaneous tumour
C44.590,Other specified malignant neoplasm of anal skin,90441/3,CRTC1::TRIM11 cutaneous tumour
C44.591,Other specified malignant neoplasm of skin of breast,90441/3,CRTC1::TRIM11 cutaneous tumour
C44.599,Other specified malignant neoplasm of skin of other part of trunk,90441/3,CRTC1::TRIM11 cutaneous tumour
C44.6,"Other and unspecified malignant neoplasm of skin of upper limb, including shoulder",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.60,"Unspecified malignant neoplasm of skin of upper limb, including shoulder",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.601,"Unspecified malignant neoplasm of skin of unspecified upper limb, including shoulder",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.602,"Unspecified malignant neoplasm of skin of right upper limb, including shoulder",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.609,"Unspecified malignant neoplasm of skin of left upper limb, including shoulder",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.61,"Basal cell carcinoma of skin of upper limb, including shoulder",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.611,"Basal cell carcinoma of skin of unspecified upper limb, including shoulder",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.612,"Basal cell carcinoma of skin of right upper limb, including shoulder",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.619,"Basal cell carcinoma of skin of left upper limb, including shoulder",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.62,"Squamous cell carcinoma of skin of upper limb, including shoulder",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.621,"Squamous cell carcinoma of skin of unspecified upper limb, including shoulder",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.622,"Squamous cell carcinoma of skin of right upper limb, including shoulder",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.629,"Squamous cell carcinoma of skin of left upper limb, including shoulder",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.69,"Other specified malignant neoplasm of skin of upper limb, including shoulder",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.691,"Other specified malignant neoplasm of skin of unspecified upper limb, including shoulder",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.692,"Other specified malignant neoplasm of skin of right upper limb, including shoulder",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.699,"Other specified malignant neoplasm of skin of left upper limb, including shoulder",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.7,"Other and unspecified malignant neoplasm of skin of lower limb, including hip",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.70,"Unspecified malignant neoplasm of skin of lower limb, including hip",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.701,"Unspecified malignant neoplasm of skin of unspecified lower limb, including hip",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.702,"Unspecified malignant neoplasm of skin of right lower limb, including hip",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.709,"Unspecified malignant neoplasm of skin of left lower limb, including hip",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.71,"Basal cell carcinoma of skin of lower limb, including hip",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.711,"Basal cell carcinoma of skin of unspecified lower limb, including hip",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.712,"Basal cell carcinoma of skin of right lower limb, including hip",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.719,"Basal cell carcinoma of skin of left lower limb, including hip",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.72,"Squamous cell carcinoma of skin of lower limb, including hip",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.721,"Squamous cell carcinoma of skin of unspecified lower limb, including hip",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.722,"Squamous cell carcinoma of skin of right lower limb, including hip",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.729,"Squamous cell carcinoma of skin of left lower limb, including hip",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.79,"Other specified malignant neoplasm of skin of lower limb, including hip",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.791,"Other specified malignant neoplasm of skin of unspecified lower limb, including hip",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.792,"Other specified malignant neoplasm of skin of right lower limb, including hip",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.799,"Other specified malignant neoplasm of skin of left lower limb, including hip",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.8,Other and unspecified malignant neoplasm of overlapping sites of skin,90441/3,CRTC1::TRIM11 cutaneous tumour
C44.80,Unspecified malignant neoplasm of overlapping sites of skin,90441/3,CRTC1::TRIM11 cutaneous tumour
C44.81,Basal cell carcinoma of overlapping sites of skin,90441/3,CRTC1::TRIM11 cutaneous tumour
C44.82,Squamous cell carcinoma of overlapping sites of skin,90441/3,CRTC1::TRIM11 cutaneous tumour
C44.89,Other specified malignant neoplasm of overlapping sites of skin,90441/3,CRTC1::TRIM11 cutaneous tumour
C44.9,"Other and unspecified malignant neoplasm of skin, unspecified",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.90,"Unspecified malignant neoplasm of skin, unspecified",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.91,"Basal cell carcinoma of skin, unspecified",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.92,"Squamous cell carcinoma of skin, unspecified",90441/3,CRTC1::TRIM11 cutaneous tumour
C44.99,"Other specified malignant neoplasm of skin, unspecified",90441/3,CRTC1::TRIM11 cutaneous tumour
C30.0,Malignant neoplasm of nasal cavity,90450/3,Biphenotypic sinonasal sarcoma
C31.0,Malignant neoplasm of maxillary sinus,90450/3,Biphenotypic sinonasal sarcoma
C31.1,Malignant neoplasm of ethmoidal sinus,90450/3,Biphenotypic sinonasal sarcoma
C31.2,Malignant neoplasm of frontal sinus,90450/3,Biphenotypic sinonasal sarcoma
C31.3,Malignant neoplasm of sphenoid sinus,90450/3,Biphenotypic sinonasal sarcoma
C31.8,Malignant neoplasm of overlapping sites of accessory sinuses,90450/3,Biphenotypic sinonasal sarcoma
C31.9,"Malignant neoplasm of accessory sinus, unspecified",90450/3,Biphenotypic sinonasal sarcoma
C38.4,Malignant neoplasm of pleura,90501/3,Diffuse pleural mesothelioma
C38.4,Malignant neoplasm of pleura,90502/3,Localized pleural mesothelioma
C38.4,Malignant neoplasm of pleura,90520/1,Well-differentiated papillary mesothelial tumour of pleura
C48.1,Malignant neoplasm of specified parts of peritoneum,90550/0,"Peritoneal inclusion cysts, NOS"
C48.2,"Malignant neoplasm of peritoneum, unspecified",90550/0,"Peritoneal inclusion cysts, NOS"
C56.9,Malignant neoplasm of unspecified ovary,90600/3,Germinoma of ovary
C62.0,Malignant neoplasm of undescended testis,90610/2,Intratubular seminoma
C62.00,Malignant neoplasm of unspecified undescended testis,90610/2,Intratubular seminoma
C62.01,Malignant neoplasm of undescended right testis,90610/2,Intratubular seminoma
C62.02,Malignant neoplasm of undescended left testis,90610/2,Intratubular seminoma
C62.1,Malignant neoplasm of descended testis,90610/2,Intratubular seminoma
C62.10,Malignant neoplasm of unspecified descended testis,90610/2,Intratubular seminoma
C62.11,Malignant neoplasm of descended right testis,90610/2,Intratubular seminoma
C62.12,Malignant neoplasm of descended left testis,90610/2,Intratubular seminoma
C62.9,"Malignant neoplasm of testis, unspecified whether descended or undescended",90610/2,Intratubular seminoma
C62.90,"Malignant neoplasm of unspecified testis, unspecified whether descended or undescended",90610/2,Intratubular seminoma
C62.91,"Malignant neoplasm of right testis, unspecified whether descended or undescended",90610/2,Intratubular seminoma
C62.92,"Malignant neoplasm of left testis, unspecified whether descended or undescended",90610/2,Intratubular seminoma
C62.0,Malignant neoplasm of undescended testis,90611/2,Intratubular trophoblast
C62.00,Malignant neoplasm of unspecified undescended testis,90611/2,Intratubular trophoblast
C62.01,Malignant neoplasm of undescended right testis,90611/2,Intratubular trophoblast
C62.02,Malignant neoplasm of undescended left testis,90611/2,Intratubular trophoblast
C62.1,Malignant neoplasm of descended testis,90611/2,Intratubular trophoblast
C62.10,Malignant neoplasm of unspecified descended testis,90611/2,Intratubular trophoblast
C62.11,Malignant neoplasm of descended right testis,90611/2,Intratubular trophoblast
C62.12,Malignant neoplasm of descended left testis,90611/2,Intratubular trophoblast
C62.9,"Malignant neoplasm of testis, unspecified whether descended or undescended",90611/2,Intratubular trophoblast
C62.90,"Malignant neoplasm of unspecified testis, unspecified whether descended or undescended",90611/2,Intratubular trophoblast
C62.91,"Malignant neoplasm of right testis, unspecified whether descended or undescended",90611/2,Intratubular trophoblast
C62.92,"Malignant neoplasm of left testis, unspecified whether descended or undescended",90611/2,Intratubular trophoblast
C62.0,Malignant neoplasm of undescended testis,90610/3,"Seminoma, NOS"
C62.00,Malignant neoplasm of unspecified undescended testis,90610/3,"Seminoma, NOS"
C62.01,Malignant neoplasm of undescended right testis,90610/3,"Seminoma, NOS"
C62.02,Malignant neoplasm of undescended left testis,90610/3,"Seminoma, NOS"
C62.1,Malignant neoplasm of descended testis,90610/3,"Seminoma, NOS"
C62.10,Malignant neoplasm of unspecified descended testis,90610/3,"Seminoma, NOS"
C62.11,Malignant neoplasm of descended right testis,90610/3,"Seminoma, NOS"
C62.12,Malignant neoplasm of descended left testis,90610/3,"Seminoma, NOS"
C62.9,"Malignant neoplasm of testis, unspecified whether descended or undescended",90610/3,"Seminoma, NOS"
C62.90,"Malignant neoplasm of unspecified testis, unspecified whether descended or undescended",90610/3,"Seminoma, NOS"
C62.91,"Malignant neoplasm of right testis, unspecified whether descended or undescended",90610/3,"Seminoma, NOS"
C62.92,"Malignant neoplasm of left testis, unspecified whether descended or undescended",90610/3,"Seminoma, NOS"
C62.0,Malignant neoplasm of undescended testis,90611/3,Seminoma with syncytiotrophoblastic cells
C62.00,Malignant neoplasm of unspecified undescended testis,90611/3,Seminoma with syncytiotrophoblastic cells
C62.01,Malignant neoplasm of undescended right testis,90611/3,Seminoma with syncytiotrophoblastic cells
C62.02,Malignant neoplasm of undescended left testis,90611/3,Seminoma with syncytiotrophoblastic cells
C62.1,Malignant neoplasm of descended testis,90611/3,Seminoma with syncytiotrophoblastic cells
C62.10,Malignant neoplasm of unspecified descended testis,90611/3,Seminoma with syncytiotrophoblastic cells
C62.11,Malignant neoplasm of descended right testis,90611/3,Seminoma with syncytiotrophoblastic cells
C62.12,Malignant neoplasm of descended left testis,90611/3,Seminoma with syncytiotrophoblastic cells
C62.9,"Malignant neoplasm of testis, unspecified whether descended or undescended",90611/3,Seminoma with syncytiotrophoblastic cells
C62.90,"Malignant neoplasm of unspecified testis, unspecified whether descended or undescended",90611/3,Seminoma with syncytiotrophoblastic cells
C62.91,"Malignant neoplasm of right testis, unspecified whether descended or undescended",90611/3,Seminoma with syncytiotrophoblastic cells
C62.92,"Malignant neoplasm of left testis, unspecified whether descended or undescended",90611/3,Seminoma with syncytiotrophoblastic cells
C62.0,Malignant neoplasm of undescended testis,90620/3,"Seminoma, anaplastic"
C62.00,Malignant neoplasm of unspecified undescended testis,90620/3,"Seminoma, anaplastic"
C62.01,Malignant neoplasm of undescended right testis,90620/3,"Seminoma, anaplastic"
C62.02,Malignant neoplasm of undescended left testis,90620/3,"Seminoma, anaplastic"
C62.1,Malignant neoplasm of descended testis,90620/3,"Seminoma, anaplastic"
C62.10,Malignant neoplasm of unspecified descended testis,90620/3,"Seminoma, anaplastic"
C62.11,Malignant neoplasm of descended right testis,90620/3,"Seminoma, anaplastic"
C62.12,Malignant neoplasm of descended left testis,90620/3,"Seminoma, anaplastic"
C62.9,"Malignant neoplasm of testis, unspecified whether descended or undescended",90620/3,"Seminoma, anaplastic"
C62.90,"Malignant neoplasm of unspecified testis, unspecified whether descended or undescended",90620/3,"Seminoma, anaplastic"
C62.91,"Malignant neoplasm of right testis, unspecified whether descended or undescended",90620/3,"Seminoma, anaplastic"
C62.92,"Malignant neoplasm of left testis, unspecified whether descended or undescended",90620/3,"Seminoma, anaplastic"
C62.0,Malignant neoplasm of undescended testis,90630/3,"Spermatocytic tumour, NOS"
C62.00,Malignant neoplasm of unspecified undescended testis,90630/3,"Spermatocytic tumour, NOS"
C62.01,Malignant neoplasm of undescended right testis,90630/3,"Spermatocytic tumour, NOS"
C62.02,Malignant neoplasm of undescended left testis,90630/3,"Spermatocytic tumour, NOS"
C62.1,Malignant neoplasm of descended testis,90630/3,"Spermatocytic tumour, NOS"
C62.10,Malignant neoplasm of unspecified descended testis,90630/3,"Spermatocytic tumour, NOS"
C62.11,Malignant neoplasm of descended right testis,90630/3,"Spermatocytic tumour, NOS"
C62.12,Malignant neoplasm of descended left testis,90630/3,"Spermatocytic tumour, NOS"
C62.9,"Malignant neoplasm of testis, unspecified whether descended or undescended",90630/3,"Spermatocytic tumour, NOS"
C62.90,"Malignant neoplasm of unspecified testis, unspecified whether descended or undescended",90630/3,"Spermatocytic tumour, NOS"
C62.91,"Malignant neoplasm of right testis, unspecified whether descended or undescended",90630/3,"Spermatocytic tumour, NOS"
C62.92,"Malignant neoplasm of left testis, unspecified whether descended or undescended",90630/3,"Spermatocytic tumour, NOS"
C62.0,Malignant neoplasm of undescended testis,90631/3,Spermatocytic tumour with sarcomatous differentiation
C62.00,Malignant neoplasm of unspecified undescended testis,90631/3,Spermatocytic tumour with sarcomatous differentiation
C62.01,Malignant neoplasm of undescended right testis,90631/3,Spermatocytic tumour with sarcomatous differentiation
C62.02,Malignant neoplasm of undescended left testis,90631/3,Spermatocytic tumour with sarcomatous differentiation
C62.1,Malignant neoplasm of descended testis,90631/3,Spermatocytic tumour with sarcomatous differentiation
C62.10,Malignant neoplasm of unspecified descended testis,90631/3,Spermatocytic tumour with sarcomatous differentiation
C62.11,Malignant neoplasm of descended right testis,90631/3,Spermatocytic tumour with sarcomatous differentiation
C62.12,Malignant neoplasm of descended left testis,90631/3,Spermatocytic tumour with sarcomatous differentiation
C62.9,"Malignant neoplasm of testis, unspecified whether descended or undescended",90631/3,Spermatocytic tumour with sarcomatous differentiation
C62.90,"Malignant neoplasm of unspecified testis, unspecified whether descended or undescended",90631/3,Spermatocytic tumour with sarcomatous differentiation
C62.91,"Malignant neoplasm of right testis, unspecified whether descended or undescended",90631/3,Spermatocytic tumour with sarcomatous differentiation
C62.92,"Malignant neoplasm of left testis, unspecified whether descended or undescended",90631/3,Spermatocytic tumour with sarcomatous differentiation
C62.0,Malignant neoplasm of undescended testis,90640/2,Germ cell neoplasia in situ
C62.00,Malignant neoplasm of unspecified undescended testis,90640/2,Germ cell neoplasia in situ
C62.01,Malignant neoplasm of undescended right testis,90640/2,Germ cell neoplasia in situ
C62.02,Malignant neoplasm of undescended left testis,90640/2,Germ cell neoplasia in situ
C62.1,Malignant neoplasm of descended testis,90640/2,Germ cell neoplasia in situ
C62.10,Malignant neoplasm of unspecified descended testis,90640/2,Germ cell neoplasia in situ
C62.11,Malignant neoplasm of descended right testis,90640/2,Germ cell neoplasia in situ
C62.12,Malignant neoplasm of descended left testis,90640/2,Germ cell neoplasia in situ
C62.9,"Malignant neoplasm of testis, unspecified whether descended or undescended",90640/2,Germ cell neoplasia in situ
C62.90,"Malignant neoplasm of unspecified testis, unspecified whether descended or undescended",90640/2,Germ cell neoplasia in situ
C62.91,"Malignant neoplasm of right testis, unspecified whether descended or undescended",90640/2,Germ cell neoplasia in situ
C62.92,"Malignant neoplasm of left testis, unspecified whether descended or undescended",90640/2,Germ cell neoplasia in situ
C62.0,Malignant neoplasm of undescended testis,90650/3,"Germ cell tumour, nonseminomatous"
C62.00,Malignant neoplasm of unspecified undescended testis,90650/3,"Germ cell tumour, nonseminomatous"
C62.01,Malignant neoplasm of undescended right testis,90650/3,"Germ cell tumour, nonseminomatous"
C62.02,Malignant neoplasm of undescended left testis,90650/3,"Germ cell tumour, nonseminomatous"
C62.1,Malignant neoplasm of descended testis,90650/3,"Germ cell tumour, nonseminomatous"
C62.10,Malignant neoplasm of unspecified descended testis,90650/3,"Germ cell tumour, nonseminomatous"
C62.11,Malignant neoplasm of descended right testis,90650/3,"Germ cell tumour, nonseminomatous"
C62.12,Malignant neoplasm of descended left testis,90650/3,"Germ cell tumour, nonseminomatous"
C62.9,"Malignant neoplasm of testis, unspecified whether descended or undescended",90650/3,"Germ cell tumour, nonseminomatous"
C62.90,"Malignant neoplasm of unspecified testis, unspecified whether descended or undescended",90650/3,"Germ cell tumour, nonseminomatous"
C62.91,"Malignant neoplasm of right testis, unspecified whether descended or undescended",90650/3,"Germ cell tumour, nonseminomatous"
C62.92,"Malignant neoplasm of left testis, unspecified whether descended or undescended",90650/3,"Germ cell tumour, nonseminomatous"
C62.0,Malignant neoplasm of undescended testis,90700/2,Intratubular embryonal carcinoma
C62.00,Malignant neoplasm of unspecified undescended testis,90700/2,Intratubular embryonal carcinoma
C62.01,Malignant neoplasm of undescended right testis,90700/2,Intratubular embryonal carcinoma
C62.02,Malignant neoplasm of undescended left testis,90700/2,Intratubular embryonal carcinoma
C62.1,Malignant neoplasm of descended testis,90700/2,Intratubular embryonal carcinoma
C62.10,Malignant neoplasm of unspecified descended testis,90700/2,Intratubular embryonal carcinoma
C62.11,Malignant neoplasm of descended right testis,90700/2,Intratubular embryonal carcinoma
C62.12,Malignant neoplasm of descended left testis,90700/2,Intratubular embryonal carcinoma
C62.9,"Malignant neoplasm of testis, unspecified whether descended or undescended",90700/2,Intratubular embryonal carcinoma
C62.90,"Malignant neoplasm of unspecified testis, unspecified whether descended or undescended",90700/2,Intratubular embryonal carcinoma
C62.91,"Malignant neoplasm of right testis, unspecified whether descended or undescended",90700/2,Intratubular embryonal carcinoma
C62.92,"Malignant neoplasm of left testis, unspecified whether descended or undescended",90700/2,Intratubular embryonal carcinoma
C62.0,Malignant neoplasm of undescended testis,90710/2,Intratubular yolk sac tumour
C62.00,Malignant neoplasm of unspecified undescended testis,90710/2,Intratubular yolk sac tumour
C62.01,Malignant neoplasm of undescended right testis,90710/2,Intratubular yolk sac tumour
C62.02,Malignant neoplasm of undescended left testis,90710/2,Intratubular yolk sac tumour
C62.1,Malignant neoplasm of descended testis,90710/2,Intratubular yolk sac tumour
C62.10,Malignant neoplasm of unspecified descended testis,90710/2,Intratubular yolk sac tumour
C62.11,Malignant neoplasm of descended right testis,90710/2,Intratubular yolk sac tumour
C62.12,Malignant neoplasm of descended left testis,90710/2,Intratubular yolk sac tumour
C62.9,"Malignant neoplasm of testis, unspecified whether descended or undescended",90710/2,Intratubular yolk sac tumour
C62.90,"Malignant neoplasm of unspecified testis, unspecified whether descended or undescended",90710/2,Intratubular yolk sac tumour
C62.91,"Malignant neoplasm of right testis, unspecified whether descended or undescended",90710/2,Intratubular yolk sac tumour
C62.92,"Malignant neoplasm of left testis, unspecified whether descended or undescended",90710/2,Intratubular yolk sac tumour
C62.0,Malignant neoplasm of undescended testis,90710/3,Orchioblastoma
C62.00,Malignant neoplasm of unspecified undescended testis,90710/3,Orchioblastoma
C62.01,Malignant neoplasm of undescended right testis,90710/3,Orchioblastoma
C62.02,Malignant neoplasm of undescended left testis,90710/3,Orchioblastoma
C62.1,Malignant neoplasm of descended testis,90710/3,Orchioblastoma
C62.10,Malignant neoplasm of unspecified descended testis,90710/3,Orchioblastoma
C62.11,Malignant neoplasm of descended right testis,90710/3,Orchioblastoma
C62.12,Malignant neoplasm of descended left testis,90710/3,Orchioblastoma
C62.9,"Malignant neoplasm of testis, unspecified whether descended or undescended",90710/3,Orchioblastoma
C62.90,"Malignant neoplasm of unspecified testis, unspecified whether descended or undescended",90710/3,Orchioblastoma
C62.91,"Malignant neoplasm of right testis, unspecified whether descended or undescended",90710/3,Orchioblastoma
C62.92,"Malignant neoplasm of left testis, unspecified whether descended or undescended",90710/3,Orchioblastoma
C38.0,Malignant neoplasm of heart,90801/1,Immature teratoma of mediastinum
C38.1,Malignant neoplasm of anterior mediastinum,90801/1,Immature teratoma of mediastinum
C38.2,Malignant neoplasm of posterior mediastinum,90801/1,Immature teratoma of mediastinum
C38.3,"Malignant neoplasm of mediastinum, part unspecified",90801/1,Immature teratoma of mediastinum
C38.4,Malignant neoplasm of pleura,90801/1,Immature teratoma of mediastinum
C38.8,"Malignant neoplasm of overlapping sites of heart, mediastinum and pleura",90801/1,Immature teratoma of mediastinum
C62.0,Malignant neoplasm of undescended testis,90800/2,Intratubular teratoma
C62.00,Malignant neoplasm of unspecified undescended testis,90800/2,Intratubular teratoma
C62.01,Malignant neoplasm of undescended right testis,90800/2,Intratubular teratoma
C62.02,Malignant neoplasm of undescended left testis,90800/2,Intratubular teratoma
C62.1,Malignant neoplasm of descended testis,90800/2,Intratubular teratoma
C62.10,Malignant neoplasm of unspecified descended testis,90800/2,Intratubular teratoma
C62.11,Malignant neoplasm of descended right testis,90800/2,Intratubular teratoma
C62.12,Malignant neoplasm of descended left testis,90800/2,Intratubular teratoma
C62.9,"Malignant neoplasm of testis, unspecified whether descended or undescended",90800/2,Intratubular teratoma
C62.90,"Malignant neoplasm of unspecified testis, unspecified whether descended or undescended",90800/2,Intratubular teratoma
C62.91,"Malignant neoplasm of right testis, unspecified whether descended or undescended",90800/2,Intratubular teratoma
C62.92,"Malignant neoplasm of left testis, unspecified whether descended or undescended",90800/2,Intratubular teratoma
C62.0,Malignant neoplasm of undescended testis,90844/0,"Teratoma, prepubertal-type"
C62.00,Malignant neoplasm of unspecified undescended testis,90844/0,"Teratoma, prepubertal-type"
C62.01,Malignant neoplasm of undescended right testis,90844/0,"Teratoma, prepubertal-type"
C62.02,Malignant neoplasm of undescended left testis,90844/0,"Teratoma, prepubertal-type"
C62.1,Malignant neoplasm of descended testis,90844/0,"Teratoma, prepubertal-type"
C62.10,Malignant neoplasm of unspecified descended testis,90844/0,"Teratoma, prepubertal-type"
C62.11,Malignant neoplasm of descended right testis,90844/0,"Teratoma, prepubertal-type"
C62.12,Malignant neoplasm of descended left testis,90844/0,"Teratoma, prepubertal-type"
C62.9,"Malignant neoplasm of testis, unspecified whether descended or undescended",90844/0,"Teratoma, prepubertal-type"
C62.90,"Malignant neoplasm of unspecified testis, unspecified whether descended or undescended",90844/0,"Teratoma, prepubertal-type"
C62.91,"Malignant neoplasm of right testis, unspecified whether descended or undescended",90844/0,"Teratoma, prepubertal-type"
C62.92,"Malignant neoplasm of left testis, unspecified whether descended or undescended",90844/0,"Teratoma, prepubertal-type"
C56.9,Malignant neoplasm of unspecified ovary,90841/3,Dermoid cyst with malignant transformation
C62.0,Malignant neoplasm of undescended testis,90843/3,"Teratoma with carcinoid (neuroendocrine tumour), NOS"
C62.00,Malignant neoplasm of unspecified undescended testis,90843/3,"Teratoma with carcinoid (neuroendocrine tumour), NOS"
C62.01,Malignant neoplasm of undescended right testis,90843/3,"Teratoma with carcinoid (neuroendocrine tumour), NOS"
C62.02,Malignant neoplasm of undescended left testis,90843/3,"Teratoma with carcinoid (neuroendocrine tumour), NOS"
C62.1,Malignant neoplasm of descended testis,90843/3,"Teratoma with carcinoid (neuroendocrine tumour), NOS"
C62.10,Malignant neoplasm of unspecified descended testis,90843/3,"Teratoma with carcinoid (neuroendocrine tumour), NOS"
C62.11,Malignant neoplasm of descended right testis,90843/3,"Teratoma with carcinoid (neuroendocrine tumour), NOS"
C62.12,Malignant neoplasm of descended left testis,90843/3,"Teratoma with carcinoid (neuroendocrine tumour), NOS"
C62.9,"Malignant neoplasm of testis, unspecified whether descended or undescended",90843/3,"Teratoma with carcinoid (neuroendocrine tumour), NOS"
C62.90,"Malignant neoplasm of unspecified testis, unspecified whether descended or undescended",90843/3,"Teratoma with carcinoid (neuroendocrine tumour), NOS"
C62.91,"Malignant neoplasm of right testis, unspecified whether descended or undescended",90843/3,"Teratoma with carcinoid (neuroendocrine tumour), NOS"
C62.92,"Malignant neoplasm of left testis, unspecified whether descended or undescended",90843/3,"Teratoma with carcinoid (neuroendocrine tumour), NOS"
C56.9,Malignant neoplasm of unspecified ovary,90900/0,"Struma ovarii, NOS"
C56.9,Malignant neoplasm of unspecified ovary,90900/3,Thyroid carcinoma arising in struma ovarii
C56.9,Malignant neoplasm of unspecified ovary,90910/1,Ovarian carcinoid
C62.0,Malignant neoplasm of undescended testis,91040/3,Placental site trophoblastic tumour of testis
C62.00,Malignant neoplasm of unspecified undescended testis,91040/3,Placental site trophoblastic tumour of testis
C62.01,Malignant neoplasm of undescended right testis,91040/3,Placental site trophoblastic tumour of testis
C62.02,Malignant neoplasm of undescended left testis,91040/3,Placental site trophoblastic tumour of testis
C62.1,Malignant neoplasm of descended testis,91040/3,Placental site trophoblastic tumour of testis
C62.10,Malignant neoplasm of unspecified descended testis,91040/3,Placental site trophoblastic tumour of testis
C62.11,Malignant neoplasm of descended right testis,91040/3,Placental site trophoblastic tumour of testis
C62.12,Malignant neoplasm of descended left testis,91040/3,Placental site trophoblastic tumour of testis
C62.9,"Malignant neoplasm of testis, unspecified whether descended or undescended",91040/3,Placental site trophoblastic tumour of testis
C62.90,"Malignant neoplasm of unspecified testis, unspecified whether descended or undescended",91040/3,Placental site trophoblastic tumour of testis
C62.91,"Malignant neoplasm of right testis, unspecified whether descended or undescended",91040/3,Placental site trophoblastic tumour of testis
C62.92,"Malignant neoplasm of left testis, unspecified whether descended or undescended",91040/3,Placental site trophoblastic tumour of testis
C56.9,Malignant neoplasm of unspecified ovary,91100/0,Adenoma of rete ovarii
C56.9,Malignant neoplasm of unspecified ovary,91100/1,Wolffian tumour
C57.0,Malignant neoplasm of fallopian tube,91100/1,Wolffian tumour
C57.00,Malignant neoplasm of unspecified fallopian tube,91100/1,Wolffian tumour
C57.01,Malignant neoplasm of right fallopian tube,91100/1,Wolffian tumour
C57.02,Malignant neoplasm of left fallopian tube,91100/1,Wolffian tumour
C57.1,Malignant neoplasm of broad ligament,91100/1,Wolffian tumour
C57.10,Malignant neoplasm of unspecified broad ligament,91100/1,Wolffian tumour
C57.11,Malignant neoplasm of right broad ligament,91100/1,Wolffian tumour
C57.12,Malignant neoplasm of left broad ligament,91100/1,Wolffian tumour
C57.2,Malignant neoplasm of round ligament,91100/1,Wolffian tumour
C57.20,Malignant neoplasm of unspecified round ligament,91100/1,Wolffian tumour
C57.21,Malignant neoplasm of right round ligament,91100/1,Wolffian tumour
C57.22,Malignant neoplasm of left round ligament,91100/1,Wolffian tumour
C57.3,Malignant neoplasm of parametrium,91100/1,Wolffian tumour
C57.4,"Malignant neoplasm of uterine adnexa, unspecified",91100/1,Wolffian tumour
C57.7,Malignant neoplasm of other specified female genital organs,91100/1,Wolffian tumour
C57.8,Malignant neoplasm of overlapping sites of female genital organs,91100/1,Wolffian tumour
C57.9,"Malignant neoplasm of female genital organ, unspecified",91100/1,Wolffian tumour
C56.9,Malignant neoplasm of unspecified ovary,91100/3,Adenocarcinoma of rete ovarii
C49.0,"Malignant neoplasm of connective and soft tissue of head, face and neck",91200/0,Synovial haemangioma
C49.1,"Malignant neoplasm of connective and soft tissue of upper limb, including shoulder",91200/0,Synovial haemangioma
C49.10,"Malignant neoplasm of connective and soft tissue of unspecified upper limb, including shoulder",91200/0,Synovial haemangioma
C49.11,"Malignant neoplasm of connective and soft tissue of right upper limb, including shoulder",91200/0,Synovial haemangioma
C49.12,"Malignant neoplasm of connective and soft tissue of left upper limb, including shoulder",91200/0,Synovial haemangioma
C49.2,"Malignant neoplasm of connective and soft tissue of lower limb, including hip",91200/0,Synovial haemangioma
C49.20,"Malignant neoplasm of connective and soft tissue of unspecified lower limb, including hip",91200/0,Synovial haemangioma
C49.21,"Malignant neoplasm of connective and soft tissue of right lower limb, including hip",91200/0,Synovial haemangioma
